orig,psi_dec_00,psi_dec_01,psi_dec_02,psi_dec_03,psi_dec_04,psi_dec_05,psi_dec_06,psi_dec_07,psi_dec_08,psi_dec_09,psi_dec_10
last_psi_dec01,,0.0005184588,0.0240153248,0.0485141915,0.0570485503,0.0506013706,0.0487886156,0.0522878313,-0.003969922,-0.081463032,-0.155054053
last_psi_dec02,,-0.05184342,-0.017282921,0.0059634392,0.0025106513,-0.002460625,0.0144867373,0.0204813632,0.0197442813,-0.033845304,-0.11130983
last_psi_dec03,,-0.060371934,-0.033119548,-0.002412342,-0.00964737,-0.007094693,0.0073431943,0.0246999461,0.0261576105,-0.007025811,-0.059653819
last_psi_dec04,,-0.077895168,-0.051070906,-0.026023383,-0.009525332,-0.002927633,0.0063089896,0.0225160758,0.0453627649,0.0269094003,-0.02504785
last_psi_dec05,,-0.06007176,-0.061971944,-0.037878481,-0.028809553,-0.011256647,-0.004733982,0.0170115502,0.0298583918,0.0415614372,0.003070462
last_psi_dec06,,-0.053747883,-0.051143126,-0.044174219,-0.039490368,-0.018111391,-0.007467233,0.0048443789,0.0162784064,0.0189362067,0.0022676548
last_psi_dec07,,-0.041747369,-0.049823647,-0.039513827,-0.034734883,-0.037089969,-0.01691849,-0.002780586,0.0143855922,0.0265178725,0.0314860967
last_psi_dec08,,-0.001633571,-0.017545812,-0.019361108,-0.029289077,-0.026311995,-0.015044199,-0.005941947,0.0113438029,0.0203685751,0.0377996836
last_psi_dec09,,0.0280588681,0.0015759286,-0.011160355,-0.016749381,-0.015992903,-0.024309621,-0.019263509,-0.001569773,0.0103882342,0.0383592883
last_psi_dec10,,0.0585751758,0.0343781325,0.0235713671,0.0161117401,-0.018000769,-0.018130163,-0.037077528,-0.016920728,-0.007235851,0.0233051538
