orig,psi_dec_00,psi_dec_01,psi_dec_02,psi_dec_03,psi_dec_04,psi_dec_05,psi_dec_06,psi_dec_07,psi_dec_08,psi_dec_09,psi_dec_10
last_psi_dec01,,0.0184386033,0.0382133516,0.0670536288,0.0934177881,0.0948769131,0.1276402711,0.1306623888,0.0970744741,-0.022887316,-0.020605881
last_psi_dec02,,-0.056607575,-0.011235036,0.0259206793,0.0235445461,0.0293985856,0.0411707393,0.0527899414,0.0592408735,0.0092786458,-0.045942499
last_psi_dec03,,-0.096512137,-0.043385951,-0.007854789,0.0035138327,0.0222271472,0.0305613047,0.0474689309,0.0466575624,0.0371415333,-0.029596636
last_psi_dec04,,-0.091796841,-0.072976587,-0.03459219,-0.006275003,0.0089043594,0.0241633555,0.050559465,0.0626596486,0.0640108256,0.0268401329
last_psi_dec05,,-0.098853973,-0.074617895,-0.049270887,-0.02952809,-0.011705179,0.0144072319,0.0323831237,0.0462634061,0.0618557198,0.0218445426
last_psi_dec06,,-0.102352641,-0.077985924,-0.062098709,-0.049611238,-0.022847628,-0.005273759,0.0126278808,0.0265829776,0.0332615244,0.0249519731
last_psi_dec07,,-0.088385347,-0.077483631,-0.052315601,-0.052265838,-0.037602985,-0.016689352,0.0017042882,0.0130924355,0.0242353689,0.025508801
last_psi_dec08,,-0.030676987,-0.071291834,-0.052126606,-0.038785839,-0.030882934,-0.02421665,-0.00584186,0.0036558218,0.0169879409,0.0346979622
last_psi_dec09,,0.0066128476,-0.016395618,-0.028170256,-0.026622312,-0.026136365,-0.020473737,-0.026652625,-0.006304297,0.0029361748,0.0252191529
last_psi_dec10,,0.0603708417,0.0324606019,0.0221383617,-0.013474525,0.0024819082,-0.025118441,-0.02967565,-0.02291029,-0.015728478,0.0191702436
