orig,psi_dec_00,psi_dec_01,psi_dec_02,psi_dec_03,psi_dec_04,psi_dec_05,psi_dec_06,psi_dec_07,psi_dec_08,psi_dec_09,psi_dec_10
last_psi_dec01,,0.0236623865,0.0388721012,-0.038771772,-0.029774418,-0.031164421,-0.020172169,-0.000496024,-0.003027771,-0.005057917,-0.119366091
last_psi_dec02,,-0.046979227,-0.011467569,0.0056200027,0.0184936785,-0.004658241,-0.003428323,-0.020921335,0.0210531201,0.0085315133,-0.125550163
last_psi_dec03,,-0.019502619,-0.001006389,0.0058359101,0.0017654641,-0.003780664,-0.013622808,-0.012733789,-0.000163979,0.0099716823,-0.081260239
last_psi_dec04,,-0.02435356,-0.04333229,-0.015024511,0.0123642728,0.0033708219,0.0015809192,-0.005034226,0.0238487815,0.0306413709,-0.021242846
last_psi_dec05,,-0.029812944,-0.044176979,-0.023857149,-0.004451336,0.0065971149,0.0142909147,0.0094387132,0.0239452695,0.069971549,-0.008501738
last_psi_dec06,,-0.015728064,-0.037800878,-0.018750187,-0.019365983,0.0054152401,0.0039129509,0.0126153289,0.031110972,0.0565707641,0.0206726494
last_psi_dec07,,-0.008101161,-0.028560293,0.0135035346,-0.008686868,-0.018177803,0.0039182548,0.0074091539,0.0222714447,0.0510128074,0.0482318795
last_psi_dec08,,0.0224740193,-0.008705398,0.0010203304,0.0113699475,0.004803883,-0.004117309,-0.000080797,0.0155289245,0.0359647663,0.0487627377
last_psi_dec09,,0.0616023213,0.0208601801,0.0469782117,0.0366775367,0.0164020368,-0.000353185,-0.010365721,-0.006685603,0.010663264,0.0267313267
last_psi_dec10,,0.0500454855,0.0377917599,0.0667787937,0.0280959336,0.021747803,0.0204685795,-0.019177392,0.0168277227,0.0006091185,0.0060872098
