orig,psi_dec_00,psi_dec_01,psi_dec_02,psi_dec_03,psi_dec_04,psi_dec_05,psi_dec_06,psi_dec_07,psi_dec_08,psi_dec_09,psi_dec_10
last_psi_dec01,,0.0107464202,-0.005183374,-0.016271485,-0.027429397,-0.037884205,-0.052862349,-0.078002825,-0.117485017,-0.161847584,-0.218298305
last_psi_dec02,,-0.034438529,-0.013847331,-0.010823422,-0.021324112,-0.018038878,-0.040862032,-0.046358394,-0.054579907,-0.096611844,-0.171991745
last_psi_dec03,,-0.028366259,-0.019630697,-0.004248839,-0.012240438,-0.015405962,-0.020211228,-0.016332027,-0.025136919,-0.068117976,-0.11269892
last_psi_dec04,,-0.018159914,-0.022782158,-0.016281737,-0.009019689,-0.008912832,-0.008965178,-0.00150549,0.0139876577,-0.03017939,-0.069406532
last_psi_dec05,,-0.003341495,-0.020051273,-0.014050237,-0.011368401,-0.00769006,-0.007952897,0.0004184499,0.0026417596,0.0013844203,-0.019697605
last_psi_dec06,,0.0234223916,-0.020756556,-0.011782344,-0.012026363,-0.00555894,-0.008871692,0.0031525691,0.0072202633,0.0033834747,-0.024044228
last_psi_dec07,,0.0383414083,0.0118371333,0.0012357445,-0.001877525,-0.011573029,0.0004843067,0.0079381908,0.0198911019,0.0237515797,0.0123770077
last_psi_dec08,,0.0750889927,0.0353516036,0.028428303,0.0191369836,0.0076995867,0.0031125256,0.0116049323,0.0315114668,0.0339289816,0.0448778086
last_psi_dec09,,0.1205743178,0.0691846962,0.0586483245,0.0359994508,0.0226330254,0.0167681285,0.009652441,0.0187273273,0.0325882796,0.0701950998
last_psi_dec10,,0.1156562782,0.0793082949,0.0579286022,0.0441837475,0.0187960719,-0.00523389,-0.012002991,0.0066960326,0.0106835796,0.0500592544
