orig,psi_dec_00,psi_dec_01,psi_dec_02,psi_dec_03,psi_dec_04,psi_dec_05,psi_dec_06,psi_dec_07,psi_dec_08,psi_dec_09,psi_dec_10
last_psi_dec01,,0.020908715,0.0568831411,0.1093391093,0.1042039833,0.1169681454,0.1054900181,0.1502876591,0.150411854,0.0707717211,-0.058826273
last_psi_dec02,,-0.055764683,-0.002566234,0.0286399156,0.043943997,0.0632547354,0.0917448997,0.1036329909,0.1063453944,0.105361009,0.0011790348
last_psi_dec03,,-0.086089896,-0.036240188,0.0068679421,0.0194631857,0.0310223718,0.0630643666,0.0939918342,0.0921593129,0.0847739627,0.0022339637
last_psi_dec04,,-0.122706379,-0.078536503,-0.024791272,-0.001545943,0.0247392459,0.0409203146,0.0710513439,0.0946080662,0.0888795408,0.024475631
last_psi_dec05,,-0.114437118,-0.094395342,-0.04394148,-0.019785689,-0.001323606,0.0218255692,0.0430029873,0.0628415539,0.0680762587,0.0351135435
last_psi_dec06,,-0.123197331,-0.113587414,-0.067429189,-0.052629966,-0.017189728,-0.000806195,0.0188269619,0.0333666185,0.0482765509,0.0207772632
last_psi_dec07,,-0.070631861,-0.111196309,-0.075484654,-0.060449575,-0.047592,-0.021395599,0.0010858466,0.0152302881,0.02572749,0.0265649022
last_psi_dec08,,-0.041963768,-0.081772767,-0.063795176,-0.052560467,-0.048311708,-0.028748128,-0.014531117,0.0058874416,0.0215975937,0.0374790452
last_psi_dec09,,0.0064890304,-0.012812421,-0.037201791,-0.035770784,-0.025057074,-0.025383592,-0.024072856,-0.009483571,0.0051399539,0.024064996
last_psi_dec10,,0.0275531429,0.0460248637,0.0260353491,0.019935457,-0.014388038,-0.015754891,-0.022460212,-0.012635619,-0.011419409,0.0151887329
