orig,psi_dec_00,psi_dec_01,psi_dec_02,psi_dec_03,psi_dec_04,psi_dec_05,psi_dec_06,psi_dec_07,psi_dec_08,psi_dec_09,psi_dec_10
last_psi_dec01,,0.0098909541,0.0787937037,0.0910870194,0.1196783677,0.1435274151,0.1427495456,0.2131074039,0.224664882,0.1427727689,-0.041604435
last_psi_dec02,,-0.045740338,0.0073554006,0.0357958415,0.0473046961,0.0781664377,0.0854174483,0.1099704913,0.1163544599,0.1134804642,-0.025202951
last_psi_dec03,,-0.110846841,-0.029608576,0.0118387263,0.0223544222,0.0267883138,0.0660564032,0.0957336765,0.104788696,0.1227122855,0.0642296132
last_psi_dec04,,-0.133052702,-0.07650011,-0.01893667,0.0065314486,0.0286611223,0.0402124872,0.0739167991,0.1067548349,0.1010859871,0.0440263557
last_psi_dec05,,-0.109473481,-0.080990592,-0.057936229,-0.022172095,-0.000244611,0.0180270458,0.0413884095,0.0653559271,0.0944642489,0.0269851507
last_psi_dec06,,-0.125429569,-0.123541726,-0.078637903,-0.057206372,-0.01983891,0.0007410239,0.0172651122,0.0382489037,0.0654854872,0.0290073614
last_psi_dec07,,-0.096195843,-0.11548927,-0.093069234,-0.072056875,-0.046222605,-0.016022461,0.0023622133,0.0168516834,0.0455543974,0.0462881031
last_psi_dec08,,-0.062970092,-0.070408096,-0.063876972,-0.046872907,-0.042130999,-0.026727641,-0.011571269,0.0090323063,0.0280641839,0.0410214636
last_psi_dec09,,0.0364835409,-0.015361419,-0.016630704,-0.024182768,-0.024887311,-0.027410666,-0.029926731,-0.007248967,0.0082487809,0.0250808143
last_psi_dec10,,0.0564127146,0.0341840321,0.0383909594,0.020637554,0.0038201846,-0.008676742,-0.011249282,-0.012023164,-0.011017155,0.013689395
