orig,psi_dec_00,psi_dec_01,psi_dec_02,psi_dec_03,psi_dec_04,psi_dec_05,psi_dec_06,psi_dec_07,psi_dec_08,psi_dec_09,psi_dec_10
last_psi_dec01,,0.0444117361,0.0973929815,0.1599491492,0.1780331227,0.1862992826,0.195169865,0.2496643056,0.2698531362,0.1789599976,0.0118177714
last_psi_dec02,,-0.024272369,0.0315140991,0.0576565947,0.070857943,0.1005473097,0.1178362753,0.14009667,0.1793120083,0.1320322276,0.0110826767
last_psi_dec03,,-0.077662185,-0.031269147,0.0071599733,0.0202631057,0.0349657837,0.0501224185,0.0761756713,0.1044613214,0.0985304966,0.0260005907
last_psi_dec04,,-0.104002457,-0.060865155,-0.009942412,0.0045007731,0.0159943731,0.0337643053,0.0640685041,0.0861803835,0.0959412783,0.0487321733
last_psi_dec05,,-0.103959531,-0.08151768,-0.04762957,-0.025047085,-0.009409958,0.0165698633,0.0221971425,0.0460070788,0.0712464134,0.0273298542
last_psi_dec06,,-0.126106502,-0.092327754,-0.066248118,-0.05103653,-0.020528157,-0.002697731,0.0040386788,0.0151148313,0.0360493321,-0.00475316
last_psi_dec07,,-0.114317209,-0.108487397,-0.073281622,-0.05508636,-0.043675044,-0.019327124,-0.007221493,0.0017041578,0.0179172554,0.0115513896
last_psi_dec08,,-0.103322396,-0.073989607,-0.068170107,-0.056219278,-0.044663457,-0.028450376,-0.014452465,0.0018846239,0.0103668405,0.0150617518
last_psi_dec09,,-0.035444868,-0.035557018,-0.033317244,-0.034860906,-0.031109756,-0.018523975,-0.021461868,-0.007749828,0.0070108414,0.0236879528
last_psi_dec10,,0.0322135934,-0.023077798,-0.009392546,-0.006351895,0.0033805968,0.0203605208,0.0028388967,0.0121429912,0.012209198,0.0190544931
