orig,psi_dec_00,psi_dec_01,psi_dec_02,psi_dec_03,psi_dec_04,psi_dec_05,psi_dec_06,psi_dec_07,psi_dec_08,psi_dec_09,psi_dec_10
last_psi_dec01,,0.0065593976,0.0187519032,0.0256734601,0.0021692229,-0.017353681,-0.00161861,-0.01410683,-0.039292835,-0.11862136,-0.236604229
last_psi_dec02,,-0.023763363,-0.008814566,0.0052985293,-0.003618217,-0.003641755,-0.016376774,-0.016560404,-0.007391515,-0.046919387,-0.125173204
last_psi_dec03,,-0.052367051,-0.030098245,-0.006484134,-0.010269999,-0.00915589,-0.005976263,0.0143223559,0.0122151149,-0.026266432,-0.087851352
last_psi_dec04,,-0.049580623,-0.041364717,-0.017232291,-0.012401068,-0.003036868,-0.003879579,0.0152325211,0.036682164,0.0091286662,-0.040248586
last_psi_dec05,,-0.042528492,-0.045059887,-0.029537164,-0.021964053,-0.012191834,-0.002511893,0.0134506231,0.0266427616,0.035583824,0.0027446592
last_psi_dec06,,-0.01483294,-0.044417784,-0.034853522,-0.032034987,-0.017020593,-0.013399963,0.002506537,0.0199691928,0.0233419765,-0.010158765
last_psi_dec07,,-0.013603476,-0.025169457,-0.027952513,-0.024943423,-0.024779708,-0.012906978,0.0002849196,0.0098248224,0.0281374998,0.0189892624
last_psi_dec08,,0.0378810427,0.0021733581,0.0030135783,-0.013643881,-0.019057634,-0.010884793,0.0051655549,0.0165772466,0.0241687889,0.034403813
last_psi_dec09,,0.0755567657,0.038558826,0.0260613037,0.0017543706,-0.011830899,-0.00518173,-0.011882293,0.0050107512,0.0200511893,0.0488024585
last_psi_dec10,,0.062462162,0.0875425201,0.0406551757,0.0180681823,0.0035826257,-0.010108446,-0.019085443,-0.020891738,-0.00236623,0.0264040373
