orig,psi_dec_00,psi_dec_01,psi_dec_02,psi_dec_03,psi_dec_04,psi_dec_05,psi_dec_06,psi_dec_07,psi_dec_08,psi_dec_09,psi_dec_10
last_psi_dec01,,-0.014600505,-0.032752893,-0.052565616,-0.083643233,-0.089508403,-0.118715302,-0.148555574,-0.208028387,-0.225179365,-0.237338537
last_psi_dec02,,-0.014036324,-0.023866032,-0.033119627,-0.053060682,-0.073905057,-0.099272716,-0.137849468,-0.142271814,-0.20735442,-0.228470461
last_psi_dec03,,-0.004157079,-0.005573867,-0.004282238,-0.020480287,-0.033690905,-0.06111478,-0.089955408,-0.098501165,-0.152128725,-0.202937182
last_psi_dec04,,-0.0329031,0.0034666067,0.0011518947,-0.001423536,-0.01710556,-0.04682804,-0.056927552,-0.074928469,-0.119788345,-0.170119709
last_psi_dec05,,0.0386278377,0.0258926357,0.0083680253,0.0196747294,0.012915382,-0.021033593,-0.040246389,-0.041843739,-0.087828215,-0.140739708
last_psi_dec06,,0.0768686087,0.0586287624,0.0519342788,0.0426831279,0.0384325495,0.0173607528,0.0059656046,-0.000625794,-0.046228013,-0.107295894
last_psi_dec07,,0.1454872635,0.1178645049,0.0771389146,0.0813718706,0.0609816181,0.0555368766,0.0494488159,0.0397455719,0.0138876307,-0.006291754
last_psi_dec08,,0.1992535103,0.1717643138,0.1298686063,0.1306523206,0.1094709989,0.0962483638,0.0840286775,0.0904768352,0.0767777139,0.0570094005
last_psi_dec09,,0.2432708199,0.1965618457,0.1918137934,0.1536400685,0.136921923,0.1057601348,0.1119421607,0.1262152016,0.1404659417,0.0795972615
last_psi_dec10,,0.2102380908,0.201210713,0.1401472325,0.1402472769,0.122627581,0.1019287014,0.0662712117,0.0893734325,0.1049392697,0.1154391084
