1.949E+00	9.203E-01	6.287E-01	2.778E-01	7.800E-02	5.615E-02	9.187E-01	5.508E-01	3.270E-01	4.508E-02	1.072E-01
9.203E-01	1.989E+00	-1.022E+00	2.872E-02	-1.075E-03	9.661E-04	6.930E-01	1.511E-01	7.450E-02	-4.687E-03	6.363E-03
6.287E-01	-1.022E+00	1.599E+00	5.587E-02	1.459E-05	-1.125E-13	1.350E-01	3.152E-01	1.115E-01	3.840E-02	2.852E-02
2.778E-01	2.872E-02	5.587E-02	1.937E-01	1.549E-04	-2.169E-13	8.483E-02	8.668E-02	1.257E-01	-2.939E-02	9.965E-03
7.800E-02	-1.075E-03	1.459E-05	1.549E-04	7.963E-02	2.451E-14	7.298E-03	6.480E-05	1.610E-02	4.361E-02	1.093E-02
5.615E-02	9.661E-04	-1.125E-13	-2.169E-13	2.451E-14	5.590E-02	3.812E-03	-3.179E-13	-2.488E-13	7.474E-14	5.234E-02
9.187E-01	6.930E-01	1.350E-01	8.483E-02	7.298E-03	3.812E-03	7.007E-01	1.455E-01	8.954E-02	-1.723E-02	2.293E-04
5.508E-01	1.511E-01	3.152E-01	8.668E-02	6.480E-05	-3.179E-13	1.455E-01	7.072E-01	3.436E-03	-3.053E-01	8.214E-05
3.270E-01	7.450E-02	1.115E-01	1.257E-01	1.610E-02	-2.488E-13	8.954E-02	3.436E-03	4.847E-01	-2.509E-01	2.189E-04
4.508E-02	-4.687E-03	3.840E-02	-2.939E-02	4.361E-02	7.474E-14	-1.723E-02	-3.053E-01	-2.509E-01	6.186E-01	-1.930E-05
1.072E-01	6.363E-03	2.852E-02	9.965E-03	1.093E-02	5.234E-02	2.293E-04	8.214E-05	2.189E-04	-1.930E-05	1.067E-01
